movie_id,movie_title,release_date,release_year,budget,revenue,profit,popularity
294,Desert Hearts,1985-10-01,1985,350000,2400000,2050000,1.553107
296,Terminator 3: Rise of the Machines,2003-07-02,2003,200000000,435000000,235000000,20.818907
297,Meet Joe Black,1998-11-12,1998,90000000,142940100,52940100,14.026744
298,Ocean's Thirteen,2007-06-07,2007,85000000,311312624,226312624,12.16276
299,Ocean's Eleven,1960-02-17,1960,0,0,0,7.29506
300,The Science of Sleep,2006-02-11,2006,6000000,9524340,3524340,10.603991
301,Rio Bravo,1959-03-17,1959,0,5800000,5800000,10.847383
302,Swimming Pool,2003-05-18,2003,7800000,22441323,14641323,14.481103
303,Notorious,1946-08-15,1946,2000000,24464742,22464742,10.135111
306,Beverly Hills Cop III,1994-05-24,1994,50000000,119208989,69208989,11.787784
307,"Rome, Open City",1945-09-27,1945,0,0,0,6.130177
308,Broken Flowers,2005-05-17,2005,10000000,45742101,35742101,6.589304
309,The Celebration,1998-05-20,1998,1300000,0,-1300000,6.064954
310,Bruce Almighty,2003-05-23,2003,80000000,484572835,404572835,15.947524
311,Once Upon a Time in America,1984-02-16,1984,30000000,0,-30000000,32.182851
312,Beyond Silence,1996-12-18,1996,0,0,0,1.923957
313,Snow Cake,2006-02-09,2006,12000000,1381665,-10618335,11.556057
314,Catwoman,2004-07-22,2004,100000000,82102379,-17897621,13.340272
315,"Faster, Pussycat! Kill! Kill!",1965-08-06,1965,45000,0,-45000,4.220541
316,Grill Point,2002-02-12,2002,600000,0,-600000,0.637825
317,Grbavica: The Land of My Dreams,2006-03-01,2006,0,0,0,0.623465
318,The Million Dollar Hotel,2000-02-09,2000,8000000,0,-8000000,4.938231
319,True Romance,1993-09-09,1993,12500000,12281551,-218449,17.189328
320,Insomnia,2002-05-24,2002,46000000,113714830,67714830,11.424974
321,Mambo Italiano,2003-06-06,2003,4361898,3031801,-1330097,2.873356
322,Mystic River,2003-10-07,2003,25000000,156822020,131822020,12.602438
326,Snakes on a Plane,2006-08-06,2006,33000000,62022014,29022014,7.418574
327,Brother,2000-09-09,2000,12000000,15250000,3250000,8.134524
329,Jurassic Park,1993-06-11,1993,63000000,920100000,857100000,8.863776
330,The Lost World: Jurassic Park,1997-05-23,1997,73000000,229074524,156074524,0.788123
331,Jurassic Park III,2001-07-18,2001,93000000,368780809,275780809,0.648867
332,Inspector Gadget,1999-07-23,1999,75000000,0,-75000000,11.677244
333,Bollywood/Hollywood,2002-01-01,2002,0,0,0,2.015731
334,Magnolia,1999-12-08,1999,37000000,48451803,11451803,9.091636
335,Once Upon a Time in the West,1968-12-21,1968,5000000,5321508,321508,15.589351
336,"Duck, You Sucker",1971-10-20,1971,0,0,0,9.611094
337,Monsieur Ibrahim,2003-12-03,2003,0,11576431,11576431,8.260823
338,"Good bye, Lenin!",2003-02-09,2003,4800000,79384880,74584880,10.605595
339,Night on Earth,1991-10-03,1991,3500000,2015810,-1484190,8.291886
340,Everything is Illuminated,2005-09-16,2005,7000000,2697930,-4302070,7.738924
342,Summer Storm,2004-09-02,2004,2700000,0,-2700000,3.894549
343,Harold and Maude,1971-12-20,1971,1200000,0,-1200000,10.878112
344,"Bang, Boom, Bang",1999-08-26,1999,2888030,0,-2888030,3.931984
345,Eyes Wide Shut,1999-07-14,1999,65000000,162091208,97091208,13.268484
346,Seven Samurai,1954-04-26,1954,2000000,271841,-1728159,15.01777
347,People on Sunday,1930-02-04,1930,0,0,0,1.151573
348,Alien,1979-05-25,1979,11000000,104931801,93931801,23.37742
349,Cockles and Muscles,2005-03-30,2005,0,0,0,2.542936
350,The Devil Wears Prada,2006-06-30,2006,35000000,326551094,291551094,13.102384
363,Head-On,2004-03-11,2004,0,11030861,11030861,10.234986
364,Batman Returns,1992-06-19,1992,80000000,280000000,200000000,15.001681
377,A Nightmare on Elm Street,1984-11-14,1984,1800000,25504513,23704513,13.694713
378,Raising Arizona,1987-03-01,1987,6000000,29180280,23180280,14.011415
379,Miller's Crossing,1990-09-21,1990,14000000,5080409,-8919591,7.495853
380,Rain Man,1988-12-11,1988,25000000,412800000,387800000,11.267467
381,To Catch a Thief,1955-08-03,1955,2500000,8750000,6250000,5.490505
383,Mala Noche,1986-02-05,1986,22500,0,-22500,2.916721
387,Das Boot,1981-09-16,1981,14000000,85000000,71000000,8.80338
388,Inside Man,2006-03-23,2006,45000000,184376254,139376254,13.393548
389,12 Angry Men,1957-03-25,1957,350000,1000000,650000,16.503959
390,Lisbon Story,1994-12-16,1994,0,0,0,1.218279
391,A Fistful of Dollars,1964-09-12,1964,200000,14500000,14300000,12.429704
392,Chocolat,2000-12-14,2000,25000000,152500343,127500343,8.9256
393,Kill Bill: Vol. 2,2004-04-16,2004,30000000,152159461,122159461,21.533072
395,AVP: Alien vs. Predator,2004-08-12,2004,70000000,171183863,101183863,12.636205
396,Who's Afraid of Virginia Woolf?,1966-06-21,1966,7500000,33736689,26236689,5.564294
397,French Kiss,1995-05-05,1995,0,0,0,9.146544
398,Capote,2005-09-30,2005,7000000,49084830,42084830,6.01272
400,Things to Do in Denver When You're Dead,1995-12-01,1995,8000000,529766,-7470234,4.486179
401,Garden State,2004-07-28,2004,2500000,26781723,24281723,11.630809
402,Basic Instinct,1992-03-20,1992,49000000,352927224,303927224,16.628427
403,Driving Miss Daisy,1989-12-13,1989,7500000,145793296,138293296,10.703677
404,The Straight Story,1999-10-15,1999,10000000,0,-10000000,14.580995
405,La Strada,1954-07-16,1954,0,0,0,5.948021
406,La Haine,1995-05-31,1995,3000000,0,-3000000,12.108196
407,Short Sharp Shock,1998-10-15,1998,500000,0,-500000,1.463414
408,Snow White and the Seven Dwarfs,1937-12-20,1937,1488423,184925486,183437063,16.263878
409,The English Patient,1996-11-14,1996,27000000,231976425,204976425,15.564161
410,Summer in Berlin,2005-09-09,2005,0,0,0,1.11126
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,2005,180000000,748806957,568806957,18.13542
414,Batman Forever,1995-06-16,1995,100000000,336529144,236529144,13.321354
415,Batman & Robin,1997-06-20,1997,125000000,238207122,113207122,17.038824
421,The Life Aquatic with Steve Zissou,2004-12-10,2004,50000000,34808403,-15191597,6.936677
422,8½,1963-02-14,1963,0,0,0,6.747516
423,The Pianist,2002-09-24,2002,35000000,120072577,85072577,14.811594
424,Schindler's List,1993-11-29,1993,22000000,321365567,299365567,41.725123
425,Ice Age,2002-03-10,2002,59000000,383257136,324257136,17.328902
426,Vertigo,1958-05-09,1958,2479000,28000000,25521000,18.20822
427,Mon oncle,1958-05-10,1958,0,0,0,11.06066
428,Summer '04,2006-10-11,2006,0,0,0,0.533829
429,"The Good, the Bad and the Ugly",1966-12-23,1966,1200000,6000000,4800000,16.788787
430,"One, Two, Three",1961-12-15,1961,3000000,4000000,1000000,3.044499
431,Cube,1997-09-09,1997,250000,501818,251818,12.095263
433,Mary Poppins,1964-08-27,1964,6000000,102272727,96272727,15.11549
434,Tough Enough,2006-03-09,2006,0,0,0,1.634982
435,The Day After Tomorrow,2004-05-26,2004,125000000,544272402,419272402,15.049695
436,Maria Full of Grace,2004-01-18,2004,0,0,0,5.450934
437,Cube²: Hypercube,2002-04-15,2002,0,0,0,15.317489
438,Cube Zero,2004-10-15,2004,825000,0,-825000,8.758493
439,La Dolce Vita,1960-02-05,1960,0,19516000,19516000,11.063822
440,Aliens vs Predator: Requiem,2007-12-25,2007,40000000,41797066,1797066,10.793324
441,Human Nature,2001-05-18,2001,6000000,705308,-5294692,7.714094
442,Popular Music,2004-09-24,2004,2224000,28000000,25776000,0.988777
445,Caché,2005-05-02,2005,0,36000000,36000000,5.69586
451,Leaving Las Vegas,1995-10-27,1995,3600000,49800000,46200000,10.332025
452,The Idiots,1998-04-28,1998,2500000,7235,-2492765,9.174221
453,A Beautiful Mind,2001-12-11,2001,60000000,313542341,253542341,11.93646
454,Romeo + Juliet,1996-10-31,1996,14500000,147298761,132798761,11.774061
455,Bend It Like Beckham,2002-04-11,2002,3500159,76578641,73078482,6.262677
457,Sissi,1955-12-22,1955,0,0,0,11.02505
458,Sissi: The Young Empress,1956-12-18,1956,0,0,0,6.321126
459,Sissi: The Fateful Years of an Empress,1957-12-18,1957,0,0,0,10.256081
460,Go for Zucker,2005-01-06,2005,0,0,0,1.817069
462,Erin Brockovich,2000-03-17,2000,52000000,256271286,204271286,10.135446
464,As It Is in Heaven,2004-09-03,2004,0,0,0,3.643125
465,Junior Size 36,1988-03-03,1988,0,0,0,3.200299
466,Klute,1971-06-21,1971,2500000,0,-2500000,9.328822
467,The Hole,2001-04-20,2001,0,0,0,4.406514
468,My Own Private Idaho,1991-10-17,1991,2500000,0,-2500000,7.289727
469,Stranger Than Paradise,1984-10-01,1984,0,0,0,11.33706
470,21 Grams,2003-09-06,2003,20000000,60427839,40427839,6.372278
471,Bandyta,1997-01-01,1997,0,0,0,0.707491
473,Pi,1998-07-10,1998,60000,3221152,3161152,10.621362
475,Bonnie and Clyde,1967-07-18,1967,2500000,50700000,48200000,12.109198
476,Drugstore Cowboy,1989-09-09,1989,2500000,4729352,2229352,8.026112
479,Shaft,2000-06-15,2000,46000000,107196498,61196498,7.420019
480,Monsoon Wedding,2001-08-30,2001,0,0,0,10.625504
481,7 Virgins,2005-10-14,2005,0,0,0,1.639857
482,Shaft,1971-07-02,1971,4000000,12121618,8121618,3.73688
483,Wild at Heart,1990-05-01,1990,9500000,14560247,5060247,8.528622
488,The African Queen,1951-12-03,1951,1300000,10750000,9450000,6.636872
489,Good Will Hunting,1997-12-05,1997,10000000,225933435,215933435,15.064833
490,The Seventh Seal,1957-02-16,1957,0,0,0,6.47828
492,Being John Malkovich,1999-09-30,1999,13000000,22863596,9863596,11.416319
493,Shaft's Big Score!,1972-06-08,1972,1978000,10000000,8022000,0.760855
494,Shaft in Africa,1973-06-14,1973,2142000,1458000,-684000,1.424722
496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01,2006,18000000,261572744,243572744,8.278336
497,The Green Mile,1999-12-10,1999,60000000,284600000,224600000,19.96678
499,Cléo from 5 to 7,1962-04-11,1962,0,0,0,4.480811
500,Reservoir Dogs,1992-09-02,1992,1200000,14661007,13461007,12.22034
501,Grizzly Man,2005-08-12,2005,0,0,0,8.535339
502,Fail-Safe,1964-10-07,1964,0,0,0,4.225974
